pair_id,trial,bpm,phase,beat,beat_time_s,p1_tap_s,p2_tap_s,async_p1_ms,async_p2_ms,diff1,diff2,loop
55,3,150,silence,14,475.8883,476.0056,475.9707,117.37,82.44,2.0,0,1
55,3,150,silence,15,476.2883,476.336,476.3181,47.72,29.87,2.0,0,1
55,3,150,silence,16,476.6883,476.6904,476.6668,2.18,-21.5,2.0,0,1
55,3,150,silence,17,477.0883,477.0221,477.0195,-66.13,-68.76,2.0,0,1
55,3,150,silence,18,477.4883,477.3795,477.376,-108.73,-112.31,2.0,0,1
55,3,150,silence,19,477.8883,477.7391,477.7317,-149.21,-156.58,2.0,0,1
55,3,150,silence,20,478.2883,478.4537,478.4573,165.43,168.99,2.0,0,1
55,3,150,silence,21,478.6883,478.8025,478.7806,114.27,92.36,2.0,0,1
55,3,150,silence,22,479.0883,479.1179,479.134,29.59,45.78,2.0,0,1
55,3,150,silence,23,479.4883,479.4943,479.4784,5.99,-9.89,2.0,0,1
55,3,150,silence,24,479.8883,479.8348,479.827,-53.46,-61.27,2.0,0,1
55,3,150,silence,25,480.2883,480.1722,480.1921,-116.04,-96.21,2.0,0,1
55,3,150,silence,26,480.6883,480.5407,480.5331,-147.6,-155.16,2.0,0,1
55,3,150,silence,27,481.0883,481.1916,481.2136,103.37,125.36,2.0,0,1
55,3,150,silence,28,481.4883,481.5711,481.541,82.86,52.71,2.0,0,1
55,3,150,silence,29,481.8883,481.8694,481.9033,-18.9,15.02,2.0,0,1
55,3,150,silence,30,482.2883,482.2401,482.2425,-48.15,-45.78,2.0,0,1
55,3,150,silence,31,482.6883,482.5435,482.5996,-144.75,-88.71,2.0,0,1
55,3,150,silence,32,483.0883,483.2387,483.2538,150.39,165.54,2.0,0,1
55,3,150,silence,33,483.4883,483.6054,483.5724,117.16,84.14,2.0,0,1
55,3,150,silence,34,483.8883,483.9025,483.9143,14.26,26.03,2.0,0,1
55,3,150,silence,35,484.2883,484.244,484.2483,-44.23,-39.95,2.0,0,1
55,3,150,silence,36,484.6883,484.5786,484.5861,-109.69,-102.12,2.0,0,1
55,3,150,silence,37,485.0883,485.2538,485.2459,165.57,157.59,2.0,0,1
55,3,150,silence,38,485.4883,485.5644,485.6003,76.15,112.06,2.0,0,1
55,3,150,silence,39,485.8883,485.913,485.927,24.74,38.74,2.0,0,1
55,3,150,silence,40,486.2883,486.2524,486.2605,-35.9,-27.73,2.0,0,1
55,3,150,silence,41,486.6883,486.5663,486.5908,-122.0,-97.47,2.0,0,1
55,3,150,silence,42,487.0883,486.9447,486.9312,-143.57,-157.08,2.0,0,1
55,3,150,silence,43,487.4883,487.5978,487.6137,109.55,125.43,2.0,0,1
55,3,150,silence,44,487.8883,487.9482,487.9598,59.93,71.53,2.0,0,1
55,3,150,silence,45,488.2883,488.2987,488.2827,10.39,-5.58,2.0,0,1
55,3,150,silence,46,488.6883,488.619,,-69.23,,2.0,0,1
55,3,150,silence,47,489.0883,,,,,2.0,0,1
55,3,150,silence,48,489.4883,,,,,2.0,0,1
55,3,150,silence,49,489.8883,,,,,2.0,0,1
55,3,150,silence,50,490.2883,,,,,2.0,0,1
55,3,150,silence,51,490.6883,,,,,2.0,0,1
55,3,150,silence,52,491.0883,,,,,2.0,0,1
55,3,150,silence,53,491.4883,,,,,2.0,0,1
55,3,150,silence,54,491.8883,,,,,2.0,0,1
55,3,150,silence,55,492.2883,,,,,2.0,0,1
55,3,150,silence,56,492.6883,,,,,2.0,0,1
55,3,150,silence,57,493.0883,,,,,2.0,0,1
55,3,150,silence,58,493.4883,,,,,2.0,0,1
55,3,150,silence,59,493.8883,,,,,2.0,0,1
55,3,150,silence,60,494.2883,,,,,2.0,0,1
55,3,150,silence,61,494.6883,,,,,2.0,0,1
55,3,150,silence,62,495.0883,,,,,2.0,0,1
55,3,150,silence,63,495.4883,,,,,2.0,0,1
55,3,150,silence,64,495.8883,,,,,2.0,0,1
55,3,150,silence,65,496.2883,,,,,2.0,0,1
55,3,150,silence,66,496.6883,,,,,2.0,0,1
55,3,150,silence,67,497.0883,,,,,2.0,0,1
55,3,150,silence,68,497.4883,,,,,2.0,0,1
55,3,150,silence,69,497.8883,,,,,2.0,0,1
55,3,150,silence,70,498.2883,,,,,2.0,0,1
55,1,90,metronome,1,727.1265,727.3414,727.3259,214.91,199.45,2.0,9.0,2
55,1,90,metronome,2,727.7932,727.7394,727.6826,-53.76,-110.55,2.0,9.0,2
55,1,90,metronome,3,728.4598,728.344,728.6937,-115.87,233.84,2.0,9.0,2
55,1,90,metronome,4,729.1265,729.1456,729.2004,19.14,73.92,2.0,9.0,2
55,1,90,metronome,5,729.7932,729.7922,729.6725,-0.98,-120.7,2.0,9.0,2
55,1,90,metronome,6,730.4598,730.375,730.2656,-84.84,-194.25,2.0,9.0,2
55,1,90,metronome,7,731.1265,731.0351,730.879,-91.38,-247.5,2.0,9.0,2
55,1,90,metronome,8,731.7932,731.7405,731.5338,-52.7,-259.33,2.0,9.0,2
55,1,90,metronome,9,732.4598,732.399,732.2416,-60.86,-218.22,2.0,9.0,2
55,1,90,metronome,10,733.1265,733.0868,732.9343,-39.72,-192.17,2.0,9.0,2
55,1,90,silence,11,733.7932,733.7077,733.6042,-85.42,-188.95,2.0,9.0,2
55,1,90,silence,12,734.4598,734.3988,734.2597,-61.06,-200.11,2.0,9.0,2
55,1,90,silence,13,735.1265,734.9136,734.8606,-212.93,-265.92,2.0,9.0,2
55,1,90,silence,14,735.7932,735.9568,735.9686,163.66,175.44,2.0,9.0,2
55,1,90,silence,15,736.4598,736.4732,736.4553,13.35,-4.57,2.0,9.0,2
55,1,90,silence,16,737.1265,736.9588,736.9689,-167.67,-157.6,2.0,9.0,2
55,1,90,silence,17,737.7932,737.8775,737.8498,84.33,56.66,2.0,9.0,2
55,1,90,silence,18,738.4598,738.3172,738.3077,-142.59,-152.12,2.0,9.0,2
55,1,90,silence,19,739.1265,739.1654,739.1615,38.9,34.96,2.0,9.0,2
55,1,90,silence,20,739.7932,739.9798,739.9484,186.59,155.23,2.0,9.0,2
55,1,90,silence,21,740.4598,740.3474,740.3375,-112.4,-122.31,2.0,9.0,2
55,1,90,silence,22,741.1265,741.0697,741.0917,-56.8,-34.75,2.0,9.0,2
55,1,90,silence,23,741.7932,741.792,741.8038,-1.12,10.59,2.0,9.0,2
55,1,90,silence,24,742.4598,742.4912,742.5069,31.32,47.1,2.0,9.0,2
55,1,90,silence,25,743.1265,743.21,743.1835,83.49,57.03,2.0,9.0,2
55,1,90,silence,26,743.7932,743.8998,743.888,106.62,94.84,2.0,9.0,2
55,1,90,silence,27,744.4598,744.5834,744.5674,123.6,107.55,2.0,9.0,2
55,1,90,silence,28,745.1265,745.2463,745.2249,119.83,98.38,2.0,9.0,2
55,1,90,silence,29,745.7932,745.9199,745.8818,126.77,88.66,2.0,9.0,2
55,1,90,silence,30,746.4598,746.548,746.5266,88.17,66.74,2.0,9.0,2
55,1,90,silence,31,747.1265,747.1816,747.152,55.09,25.53,2.0,9.0,2
55,1,90,silence,32,747.7932,747.8132,747.801,20.0,7.87,2.0,9.0,2
55,1,90,silence,33,748.4598,748.4525,748.4346,-7.33,-25.25,2.0,9.0,2
55,1,90,silence,34,749.1265,749.0962,749.0601,-30.31,-66.44,2.0,9.0,2
55,1,90,silence,35,749.7932,749.7189,749.7064,-74.25,-86.73,2.0,9.0,2
55,1,90,silence,36,750.4598,750.3316,750.5941,-128.23,134.27,2.0,9.0,2
55,1,90,silence,37,751.1265,751.1886,751.1835,62.15,57.02,2.0,9.0,2
55,1,90,silence,38,751.7932,751.7941,751.7714,0.96,-21.77,2.0,9.0,2
55,1,90,silence,39,752.4598,752.4013,752.3764,-58.48,-83.44,2.0,9.0,2
55,1,90,silence,40,753.1265,753.2543,753.2622,127.79,135.74,2.0,9.0,2
55,1,90,silence,41,753.7932,753.8265,753.8585,33.33,65.31,2.0,9.0,2
55,1,90,silence,42,754.4598,754.4138,754.4224,-46.07,-37.47,2.0,9.0,2
55,1,90,silence,43,755.1265,755.0198,755.269,-106.69,142.47,2.0,9.0,2
55,1,90,silence,44,755.7932,755.8586,755.863,65.47,69.81,2.0,9.0,2
55,1,90,silence,45,756.4598,756.4809,756.457,21.09,-2.79,2.0,9.0,2
55,1,90,silence,46,757.1265,757.0822,757.0984,-44.27,-28.05,2.0,9.0,2
55,1,90,silence,47,757.7932,757.749,757.6889,-44.14,-104.31,2.0,9.0,2
55,1,90,silence,48,758.4598,758.3376,758.3262,-122.28,-133.61,2.0,9.0,2
55,1,90,silence,49,759.1265,759.2328,759.2353,106.31,108.83,2.0,9.0,2
55,1,90,silence,50,759.7932,759.8704,759.8379,77.24,44.72,2.0,9.0,2
55,1,90,silence,51,760.4598,760.4583,760.5005,-1.5,40.7,2.0,9.0,2
55,1,90,silence,52,761.1265,761.0952,761.0742,-31.34,-52.29,2.0,9.0,2
55,1,90,silence,53,761.7932,761.6849,761.6767,-108.25,-116.42,2.0,9.0,2
55,1,90,silence,54,762.4598,762.5667,762.561,106.83,101.2,2.0,9.0,2
55,1,90,silence,55,763.1265,763.1549,763.1305,28.42,3.99,2.0,9.0,2
55,1,90,silence,56,763.7932,763.7493,763.7412,-43.82,-51.97,2.0,9.0,2
55,1,90,silence,57,764.4598,764.3477,764.3255,-112.1,-134.3,2.0,9.0,2
55,1,90,silence,58,765.1265,765.2035,765.2357,76.97,109.23,2.0,9.0,2
55,1,90,silence,59,765.7932,765.7928,765.8252,-0.33,32.01,2.0,9.0,2
55,1,90,silence,60,766.4598,766.4413,766.4335,-18.5,-26.38,2.0,9.0,2
55,1,90,silence,61,767.1265,767.0982,767.148,-28.32,21.51,2.0,9.0,2
55,1,90,silence,62,767.7932,767.7676,767.7296,-25.55,-63.58,2.0,9.0,2
55,1,90,silence,63,768.4598,768.3679,768.3476,-91.94,-112.22,2.0,9.0,2
55,1,90,silence,64,769.1265,769.2454,769.2191,118.89,92.6,2.0,9.0,2
55,1,90,silence,65,769.7932,769.8034,769.8252,10.27,32.05,2.0,9.0,2
55,1,90,silence,66,770.4598,770.3701,770.3963,-89.73,-63.51,2.0,9.0,2
55,1,90,silence,67,771.1265,771.2735,771.227,146.99,100.54,2.0,9.0,2
55,1,90,silence,68,771.7932,771.8582,771.8388,65.07,45.68,2.0,9.0,2
55,1,90,silence,69,772.4598,772.4003,772.4201,-59.56,-39.7,2.0,9.0,2
55,1,90,silence,70,773.1265,773.0318,773.0104,-94.73,-116.12,2.0,9.0,2
55,2,120,metronome,1,785.0163,785.112,,95.71,,2.0,9.0,2
55,2,120,metronome,2,785.5163,785.5036,785.4854,-12.72,-30.88,2.0,9.0,2
55,2,120,metronome,3,786.0163,786.0062,785.9511,-10.15,-65.19,2.0,9.0,2
55,2,120,metronome,4,786.5163,786.5106,786.402,-5.74,-114.33,2.0,9.0,2
55,2,120,metronome,5,787.0163,787.0262,786.9389,9.9,-77.42,2.0,9.0,2
55,2,120,metronome,6,787.5163,787.5044,787.4103,-11.92,-106.0,2.0,9.0,2
55,2,120,metronome,7,788.0163,788.023,787.9067,6.7,-109.61,2.0,9.0,2
55,2,120,metronome,8,788.5163,788.4885,788.3879,-27.77,-128.42,2.0,9.0,2
55,2,120,metronome,9,789.0163,788.9328,788.9075,-83.49,-108.8,2.0,9.0,2
55,2,120,metronome,10,789.5163,789.3841,789.404,-132.21,-112.27,2.0,9.0,2
55,2,120,silence,11,790.0163,789.9086,789.8482,-107.68,-168.13,2.0,9.0,2
55,2,120,silence,12,790.5163,790.3931,790.2988,-123.19,-217.51,2.0,9.0,2
55,2,120,silence,13,791.0163,791.1895,791.1696,173.18,153.27,2.0,9.0,2
55,2,120,silence,14,791.5163,791.5858,791.534,69.48,17.66,2.0,9.0,2
55,2,120,silence,15,792.0163,791.9059,791.9296,-110.36,-86.73,2.0,9.0,2
55,2,120,silence,16,792.5163,792.6579,792.6801,141.58,163.82,2.0,9.0,2
55,2,120,silence,17,793.0163,793.0147,793.0205,-1.61,4.19,2.0,9.0,2
55,2,120,silence,18,793.5163,793.6924,793.3578,176.11,-158.48,2.0,9.0,2
55,2,120,silence,19,794.0163,794.0309,794.0087,14.57,-7.59,2.0,9.0,2
55,2,120,silence,20,794.5163,794.3587,794.3566,-157.64,-159.66,2.0,9.0,2
55,2,120,silence,21,795.0163,795.0556,795.0357,39.27,19.34,2.0,9.0,2
55,2,120,silence,22,795.5163,795.3761,795.648,-140.22,131.71,2.0,9.0,2
55,2,120,silence,23,796.0163,796.0027,795.9399,-13.59,-76.36,2.0,9.0,2
55,2,120,silence,24,796.5163,796.5934,796.5966,77.13,80.25,2.0,9.0,2
